sample_id,category,evidence,label,counterfactual_labels
RANSOMWARE_011,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'File contents were transformed with symmetric encryption; encrypted extensions appeared rapidly.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Renamed large numbers of user files with random extensions after modification.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Displayed a payment instruction message and threatened permanent data loss.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created a scheduled task for execution at user logon.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Contacted a remote server over HTTPS to report host identifiers and encryption status.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_012,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'File contents were transformed with symmetric encryption; encrypted extensions appeared rapidly.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Enumerated documents and rewrote them in-place; many filenames changed post-write.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Dropped a ransom note demanding payment for file recovery.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created registry Run key HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\sysupdater.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Issued periodic HTTPS requests to a fixed endpoint consistent with C2 telemetry.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_013,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Encrypted multiple user files using Windows CryptoAPI; high-volume write operations detected.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Created new encrypted copies and removed originals across user directories.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Created README files instructing victims to pay for decryption keys.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Installed an autostart entry under HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Run.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Issued periodic HTTPS requests to a fixed endpoint consistent with C2 telemetry.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_014,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Repeated file encryption observed; invoked CryptEncrypt on many user documents.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Renamed large numbers of user files with random extensions after modification.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Created README files instructing victims to pay for decryption keys.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created registry Run key HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\sysupdater.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Issued periodic HTTPS requests to a fixed endpoint consistent with C2 telemetry.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_015,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Repeated file encryption observed; invoked CryptEncrypt on many user documents.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Renamed large numbers of user files with random extensions after modification.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Displayed a payment instruction message and threatened permanent data loss.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created registry Run key HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\sysupdater.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Outbound HTTPS beaconing to a hard-coded IP address on a non-standard port.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_016,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Encrypted multiple user files using Windows CryptoAPI; high-volume write operations detected.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Enumerated documents and rewrote them in-place; many filenames changed post-write.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Displayed a payment instruction message and threatened permanent data loss.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created a scheduled task for execution at user logon.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Contacted a remote server over HTTPS to report host identifiers and encryption status.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_017,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Repeated file encryption observed; invoked CryptEncrypt on many user documents.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Enumerated documents and rewrote them in-place; many filenames changed post-write.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Displayed a payment instruction message and threatened permanent data loss.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created registry Run key HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\sysupdater.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Issued periodic HTTPS requests to a fixed endpoint consistent with C2 telemetry.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_018,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Encrypted multiple user files using Windows CryptoAPI; high-volume write operations detected.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Created new encrypted copies and removed originals across user directories.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Created README files instructing victims to pay for decryption keys.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created a scheduled task for execution at user logon.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Outbound HTTPS beaconing to a hard-coded IP address on a non-standard port.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_019,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'File contents were transformed with symmetric encryption; encrypted extensions appeared rapidly.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Renamed large numbers of user files with random extensions after modification.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Created README files instructing victims to pay for decryption keys.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created a scheduled task for execution at user logon.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Issued periodic HTTPS requests to a fixed endpoint consistent with C2 telemetry.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_020,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Repeated file encryption observed; invoked CryptEncrypt on many user documents.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Enumerated documents and rewrote them in-place; many filenames changed post-write.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Dropped a ransom note demanding payment for file recovery.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Installed an autostart entry under HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Run.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Contacted a remote server over HTTPS to report host identifiers and encryption status.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_021,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'File contents were transformed with symmetric encryption; encrypted extensions appeared rapidly.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Created new encrypted copies and removed originals across user directories.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Created README files instructing victims to pay for decryption keys.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created registry Run key HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\sysupdater.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Issued periodic HTTPS requests to a fixed endpoint consistent with C2 telemetry.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_022,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Encrypted multiple user files using Windows CryptoAPI; high-volume write operations detected.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Renamed large numbers of user files with random extensions after modification.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Dropped a ransom note demanding payment for file recovery.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created registry Run key HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\sysupdater.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Contacted a remote server over HTTPS to report host identifiers and encryption status.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_023,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Encrypted multiple user files using Windows CryptoAPI; high-volume write operations detected.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Renamed large numbers of user files with random extensions after modification.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Displayed a payment instruction message and threatened permanent data loss.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created registry Run key HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\sysupdater.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Issued periodic HTTPS requests to a fixed endpoint consistent with C2 telemetry.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_024,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'File contents were transformed with symmetric encryption; encrypted extensions appeared rapidly.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Renamed large numbers of user files with random extensions after modification.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Displayed a payment instruction message and threatened permanent data loss.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created a scheduled task for execution at user logon.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Contacted a remote server over HTTPS to report host identifiers and encryption status.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
RANSOMWARE_025,Ransomware,"[{'eid': 'E1', 'etype': 'encryption', 'text': 'Encrypted multiple user files using Windows CryptoAPI; high-volume write operations detected.'}, {'eid': 'E2', 'etype': 'filesystem', 'text': 'Enumerated documents and rewrote them in-place; many filenames changed post-write.'}, {'eid': 'E3', 'etype': 'other', 'text': 'Created README files instructing victims to pay for decryption keys.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created registry Run key HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\sysupdater.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Contacted a remote server over HTTPS to report host identifiers and encryption status.'}]",Ransomware,"{'modify_c2': 'Ransomware', 'remove_persistence': 'Ransomware', 'remove_encryption_and_coercion': 'Backdoor'}"
INFOSTEALER_001,Infostealer,"[{'eid': 'E1', 'etype': 'credential_access', 'text': 'Accessed browser credential stores and attempted to extract saved passwords.'}, {'eid': 'E2', 'etype': 'other', 'text': 'Collected cookies, session tokens, and autofill data from browser storage.'}, {'eid': 'E3', 'etype': 'exfiltration', 'text': 'Posted an archive of collected artifacts to a remote endpoint over HTTP.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Installed a user-level autostart entry for persistence.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Queried a remote endpoint for configuration and exfil destinations.'}]",Infostealer,"{'modify_c2': 'Infostealer', 'remove_persistence': 'Infostealer', 'remove_credential_access': 'Benign'}"
INFOSTEALER_002,Infostealer,"[{'eid': 'E1', 'etype': 'credential_access', 'text': 'Read login data from Chromium profile directories; queried credential databases.'}, {'eid': 'E2', 'etype': 'other', 'text': 'Searched for credential artifacts and staged them into a temporary archive.'}, {'eid': 'E3', 'etype': 'exfiltration', 'text': 'Posted an archive of collected artifacts to a remote endpoint over HTTP.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Added a Run key for periodic execution.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Queried a remote endpoint for configuration and exfil destinations.'}]",Infostealer,"{'modify_c2': 'Infostealer', 'remove_persistence': 'Infostealer', 'remove_credential_access': 'Benign'}"
INFOSTEALER_003,Infostealer,"[{'eid': 'E1', 'etype': 'credential_access', 'text': 'Read login data from Chromium profile directories; queried credential databases.'}, {'eid': 'E2', 'etype': 'other', 'text': 'Enumerated local files for common secrets (wallets, tokens) and staged them for upload.'}, {'eid': 'E3', 'etype': 'exfiltration', 'text': 'Compressed collected data and transmitted via HTTP multipart POST to an external endpoint.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created a scheduled task to execute every 30 minutes.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Queried a remote endpoint for configuration and exfil destinations.'}]",Infostealer,"{'modify_c2': 'Infostealer', 'remove_persistence': 'Infostealer', 'remove_credential_access': 'Benign'}"
INFOSTEALER_004,Infostealer,"[{'eid': 'E1', 'etype': 'credential_access', 'text': 'Read login data from Chromium profile directories; queried credential databases.'}, {'eid': 'E2', 'etype': 'other', 'text': 'Collected cookies, session tokens, and autofill data from browser storage.'}, {'eid': 'E3', 'etype': 'exfiltration', 'text': 'Compressed collected data and transmitted via HTTP multipart POST to an external endpoint.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created a scheduled task to execute every 30 minutes.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Connected to a remote endpoint to fetch exfiltration parameters and upload paths.'}]",Infostealer,"{'modify_c2': 'Infostealer', 'remove_persistence': 'Infostealer', 'remove_credential_access': 'Benign'}"
INFOSTEALER_005,Infostealer,"[{'eid': 'E1', 'etype': 'credential_access', 'text': 'Enumerated browser profiles and attempted to decrypt stored credentials.'}, {'eid': 'E2', 'etype': 'other', 'text': 'Collected cookies, session tokens, and autofill data from browser storage.'}, {'eid': 'E3', 'etype': 'exfiltration', 'text': 'Posted an archive of collected artifacts to a remote endpoint over HTTP.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Added a Run key for periodic execution.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Queried a remote endpoint for configuration and exfil destinations.'}]",Infostealer,"{'modify_c2': 'Infostealer', 'remove_persistence': 'Infostealer', 'remove_credential_access': 'Benign'}"
INFOSTEALER_006,Infostealer,"[{'eid': 'E1', 'etype': 'credential_access', 'text': 'Accessed browser credential stores and attempted to extract saved passwords.'}, {'eid': 'E2', 'etype': 'other', 'text': 'Enumerated local files for common secrets (wallets, tokens) and staged them for upload.'}, {'eid': 'E3', 'etype': 'exfiltration', 'text': 'Uploaded staged archives via HTTPS POST; payload contained credential-related artifacts.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Installed a user-level autostart entry for persistence.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Issued periodic requests to a controller endpoint to obtain tasking and upload URLs.'}]",Infostealer,"{'modify_c2': 'Infostealer', 'remove_persistence': 'Infostealer', 'remove_credential_access': 'Benign'}"
INFOSTEALER_007,Infostealer,"[{'eid': 'E1', 'etype': 'credential_access', 'text': 'Enumerated browser profiles and attempted to decrypt stored credentials.'}, {'eid': 'E2', 'etype': 'other', 'text': 'Enumerated local files for common secrets (wallets, tokens) and staged them for upload.'}, {'eid': 'E3', 'etype': 'exfiltration', 'text': 'Posted an archive of collected artifacts to a remote endpoint over HTTP.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created a scheduled task to execute every 30 minutes.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Queried a remote endpoint for configuration and exfil destinations.'}]",Infostealer,"{'modify_c2': 'Infostealer', 'remove_persistence': 'Infostealer', 'remove_credential_access': 'Benign'}"
INFOSTEALER_008,Infostealer,"[{'eid': 'E1', 'etype': 'credential_access', 'text': 'Enumerated browser profiles and attempted to decrypt stored credentials.'}, {'eid': 'E2', 'etype': 'other', 'text': 'Collected cookies, session tokens, and autofill data from browser storage.'}, {'eid': 'E3', 'etype': 'exfiltration', 'text': 'Posted an archive of collected artifacts to a remote endpoint over HTTP.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Installed a user-level autostart entry for persistence.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Issued periodic requests to a controller endpoint to obtain tasking and upload URLs.'}]",Infostealer,"{'modify_c2': 'Infostealer', 'remove_persistence': 'Infostealer', 'remove_credential_access': 'Benign'}"
INFOSTEALER_009,Infostealer,"[{'eid': 'E1', 'etype': 'credential_access', 'text': 'Enumerated browser profiles and attempted to decrypt stored credentials.'}, {'eid': 'E2', 'etype': 'other', 'text': 'Enumerated local files for common secrets (wallets, tokens) and staged them for upload.'}, {'eid': 'E3', 'etype': 'exfiltration', 'text': 'Compressed collected data and transmitted via HTTP multipart POST to an external endpoint.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Added a Run key for periodic execution.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Issued periodic requests to a controller endpoint to obtain tasking and upload URLs.'}]",Infostealer,"{'modify_c2': 'Infostealer', 'remove_persistence': 'Infostealer', 'remove_credential_access': 'Benign'}"
INFOSTEALER_010,Infostealer,"[{'eid': 'E1', 'etype': 'credential_access', 'text': 'Accessed browser credential stores and attempted to extract saved passwords.'}, {'eid': 'E2', 'etype': 'other', 'text': 'Enumerated local files for common secrets (wallets, tokens) and staged them for upload.'}, {'eid': 'E3', 'etype': 'exfiltration', 'text': 'Compressed collected data and transmitted via HTTP multipart POST to an external endpoint.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Installed a user-level autostart entry for persistence.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Queried a remote endpoint for configuration and exfil destinations.'}]",Infostealer,"{'modify_c2': 'Infostealer', 'remove_persistence': 'Infostealer', 'remove_credential_access': 'Benign'}"
INFOSTEALER_011,Infostealer,"[{'eid': 'E1', 'etype': 'credential_access', 'text': 'Read login data from Chromium profile directories; queried credential databases.'}, {'eid': 'E2', 'etype': 'other', 'text': 'Searched for credential artifacts and staged them into a temporary archive.'}, {'eid': 'E3', 'etype': 'exfiltration', 'text': 'Compressed collected data and transmitted via HTTP multipart POST to an external endpoint.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Installed a user-level autostart entry for persistence.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Connected to a remote endpoint to fetch exfiltration parameters and upload paths.'}]",Infostealer,"{'modify_c2': 'Infostealer', 'remove_persistence': 'Infostealer', 'remove_credential_access': 'Benign'}"
INFOSTEALER_012,Infostealer,"[{'eid': 'E1', 'etype': 'credential_access', 'text': 'Enumerated browser profiles and attempted to decrypt stored credentials.'}, {'eid': 'E2', 'etype': 'other', 'text': 'Enumerated local files for common secrets (wallets, tokens) and staged them for upload.'}, {'eid': 'E3', 'etype': 'exfiltration', 'text': 'Posted an archive of collected artifacts to a remote endpoint over HTTP.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Installed a user-level autostart entry for persistence.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Queried a remote endpoint for configuration and exfil destinations.'}]",Infostealer,"{'modify_c2': 'Infostealer', 'remove_persistence': 'Infostealer', 'remove_credential_access': 'Benign'}"
INFOSTEALER_013,Infostealer,"[{'eid': 'E1', 'etype': 'credential_access', 'text': 'Accessed browser credential stores and attempted to extract saved passwords.'}, {'eid': 'E2', 'etype': 'other', 'text': 'Collected cookies, session tokens, and autofill data from browser storage.'}, {'eid': 'E3', 'etype': 'exfiltration', 'text': 'Uploaded staged archives via HTTPS POST; payload contained credential-related artifacts.'}, {'eid': 'E4', 'etype': 'persistence', 'text': 'Created a scheduled task to execute every 30 minutes.'}, {'eid': 'E5', 'etype': 'c2', 'text': 'Queried a remote endpoint for configuration and exfil destinations.'}]",Infostealer,"{'modify_c2': 'Infostealer', 'remove_persistence': 'Infostealer', 'remove_credential_access': 'Benign'}"
