sample_id,category,method,perturbation,expected_cf,pred_root,pred_cf,flipped,correct
RANSOMWARE_004,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_004,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_004,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_004,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_004,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_004,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_004,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_004,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_005,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_005,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_005,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_005,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_005,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_005,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_005,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_005,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_005,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_005,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_005,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_005,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_006,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_006,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_006,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_006,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_006,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_006,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_006,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_006,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_006,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_006,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_006,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_006,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_007,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_007,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_007,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_007,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_007,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_007,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_007,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_007,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_007,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_007,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_007,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_007,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_008,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_008,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_008,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_008,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_008,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_008,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_008,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_008,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_008,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_008,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_008,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_008,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_009,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_009,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_009,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_009,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_009,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_009,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_009,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_009,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_009,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_009,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_009,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_009,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_010,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_010,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_010,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_010,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_010,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_010,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_010,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_010,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_010,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_010,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_010,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_010,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_011,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_011,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_011,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_011,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_011,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_011,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_011,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_011,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_011,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_011,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_011,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_011,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_012,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_012,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_012,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_012,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_012,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_012,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_012,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_012,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_012,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_012,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_012,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_012,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_013,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_013,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_013,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_013,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_013,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_013,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_013,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_013,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_013,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_013,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_013,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_013,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_014,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_014,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_014,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_014,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_014,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_014,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_014,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_014,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_014,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_014,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_014,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_014,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_015,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_015,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_015,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_015,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_015,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_015,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_015,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_015,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_015,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_015,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_015,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_015,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_016,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_016,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_016,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_016,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_016,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_016,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_016,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_016,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_016,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_016,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_016,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_016,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_017,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_017,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_017,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_017,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_017,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_017,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_017,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_017,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_017,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_017,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_017,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_017,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_018,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_018,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_018,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_018,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_018,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_018,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_018,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_018,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_018,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_018,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_018,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_018,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_019,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_019,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_019,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_019,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_019,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_019,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_019,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_019,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_019,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_019,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_019,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_019,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_020,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_020,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_020,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_020,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_020,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_020,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_020,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_020,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_020,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_020,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_020,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_020,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_021,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_021,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_021,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_021,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_021,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_021,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_021,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_021,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_021,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_021,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_021,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_021,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Backdoor,1,1
RANSOMWARE_022,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_022,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_022,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_022,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_022,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_022,Ransomware,CoT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_022,Ransomware,ToT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_022,Ransomware,ToT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_022,Ransomware,ToT,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_022,Ransomware,CVA,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_022,Ransomware,CVA,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_022,Ransomware,CVA,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_023,Ransomware,Direct,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_023,Ransomware,Direct,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_023,Ransomware,Direct,remove_encryption_and_coercion,Backdoor,Ransomware,Ransomware,0,0
RANSOMWARE_023,Ransomware,CoT,modify_c2,Ransomware,Ransomware,Ransomware,0,1
RANSOMWARE_023,Ransomware,CoT,remove_persistence,Ransomware,Ransomware,Ransomware,0,1
